sample_id	country	accession	layout
SRR31897984	Indonesia	SRR31897984	paired
SRR31897983	Indonesia	SRR31897983	single
SRR31897982	Indonesia	SRR31897982	paired
SRR31897981	Indonesia	SRR31897981	paired
SRR21679075	Indonesia	SRR21679075	paired
SRR6208298	Vietnam	SRR6208298	paired
SRR6208299	Vietnam	SRR6208299	paired
SRR6208300	Vietnam	SRR6208300	paired
SRR6208301	Vietnam	SRR6208301	paired
SRR6208302	Vietnam	SRR6208302	paired
ERR9538944	Malaysia	ERR9538944	paired
ERR9538945	Malaysia	ERR9538945	paired
ERR9538947	Malaysia	ERR9538947	paired
ERR9538952	Malaysia	ERR9538952	paired
ERR9538958	Malaysia	ERR9538958	paired
SRR26412217	Thailand	SRR26412217	paired
SRR26412242	Thailand	SRR26412242	paired
SRR26412243	Thailand	SRR26412243	paired
SRR26412254	Thailand	SRR26412254	paired
SRR26412293	Thailand	SRR26412293	paired
